drugName	cui	tty
(-)-Asparagine	drugBank00174	Synonyms
aloxi	drugBank00377	RxList_Link
Prostin E	drugBank00917	Brand_Names
Trihexyphenidyl	drugBank00376	Generic_Name
Nicovasen	drugBank00627	Brand_Names
Apo-Doxy	drugBank00254	Brand_Names
[(o-carboxyphenyl)thio]ethylmercury	drugBank02731	Synonyms
Exofene	drugBank00756	Brand_Names
1-(5-Tert-Butyl-2-Methyl-2h-Pyrazol-3-Yl)-3-(4-Chloro-Phenyl)-Urea	drugBank02277	Generic_Name
Ulcatif	drugBank00927	Brand_Names
Aminofen	drugBank00316	Brand_Names
Myricetin	drugBank02375	Generic_Name
Glycogen Phosphorylase inhibitor	drugBank01843	Drug_Category
Tibizide	drugBank00316	Brand_Names
(2s,5r,6r)-6-{[(6r)-6-(Glycylamino)-7-Oxido-7-Oxoheptanoyl]Amino}-3,3-Dimethyl-7-Oxo-4-Thia-1-Azabicyclo[3.2.0]Heptane-2-Carboxylate	drugBank03820	Generic_Name
Dirine	drugBank00695	Brand_Names
Tribenzagan	drugBank00662	Brand_Names
Adhesives	drugBank02764	Drug_Category
N-methyl-beta-phenylisopropylamine	drugBank01577	Synonyms
Meperidine	drugBank00454	Generic_Name
Zamanil	drugBank00383	Brand_Names
Spray-Dermis	drugBank00336	Brand_Names
Hexadrin	drugBank00531	Brand_Names
Nexit	drugBank00431	Brand_Names
Daonil	drugBank01016	Brand_Names
Quinine Dab	drugBank00468	Brand_Names
Vasopressin, isoleucyl	drugBank00067	Synonyms
Propionylpromethazine	drugBank00777	Brand_Names
Miglustat	drugBank00419	Generic_Name
Chlorphenteramine	drugBank01556	Synonyms
Diabechlor	drugBank00672	Brand_Names
sitagliptin	drugBank01261	Synonyms
Camatropine	drugBank00725	Brand_Names
Nebramycin II	drugBank04626	Synonyms
Transderma H	drugBank00741	Brand_Names
Glibenclamid Genericon	drugBank01016	Brand_Names
Aquasynth	drugBank00162	Brand_Names
Minoxidil	drugBank00350	Generic_Name
Citilat	drugBank01115	Brand_Names
Dipam	drugBank00829	Brand_Names
Clenil-A	drugBank00394	Brand_Names
Isopto Frin	drugBank00388	Brand_Names
Homoolan	drugBank00316	Brand_Names
Pyruvoyl Group	drugBank03587	Generic_Name
Pacerone	drugBank01118	Brand_Names
Lexotanil	drugBank01558	Brand_Names
Crinuryl	drugBank00903	Brand_Names
Cidofovir Anhydrous	drugBank00369	Synonyms
Euphyllin	drugBank00277	Brand_Names
(s)-camptothecin	drugBank04690	Synonyms
Micronutrients	drugBank00161	Drug_Category
Valcyte	drugBank01610	Brand_Names
Apoterin S	drugBank01180	Brand_Names
Vincristinum [INN-Latin]	drugBank00541	Synonyms
Thrombasal	drugBank00498	Brand_Names
Hidrun	drugBank00951	Brand_Names
Ascorbicap	drugBank00126	Brand_Names
Alpha-L-Arabinofuranose	drugBank02769	Generic_Name
D-Aspartic Acid	drugBank02655	Generic_Name
Blood coagulation factor XIV	drugBank00055	Synonyms
Triflumethazine	drugBank00623	Synonyms
Dimenhydrinate	drugBank00985	Generic_Name
Sulphaisoxazole	drugBank00263	Synonyms
Mykrox	drugBank00524	Brand_Names
Hydroconum	drugBank00956	Synonyms
quinine	drugBank00468	RxList_Link
Acetyldigitoxin	drugBank00511	Generic_Name
Amoxibiotic	drugBank01060	Brand_Names
Alosetron HCl	drugBank00969	Synonyms
Tega-Span	drugBank00627	Brand_Names
Afrin	drugBank00852	Brand_Names
Para-Toluene Sulfonate	drugBank03120	Generic_Name
Dutonin	drugBank01149	Brand_Names
Cystine acid	drugBank00138	Synonyms
P1-(5'-Adenosyl)P5-(5'-(3'azido-3'-Deoxythymidyl))Pentaphosphate	drugBank03845	Generic_Name
Obedrex	drugBank00574	Brand_Names
Flogostop	drugBank03585	Brand_Names
Drospirenone	drugBank01395	Generic_Name
Tekturna	drugBank01258	Brand_Names
Hemostasin	drugBank00668	Brand_Names
1-Aminomethylphosphonic acid	drugBank02057	Synonyms
Prent	drugBank01193	Brand_Names
Deoxycortone Trimethylacetate	drugBank01134	Synonyms
3,5-Difluoroaniline	drugBank03238	Generic_Name
Lesterol	drugBank01599	Brand_Names
Zopiclone [Ban:Inn:Jan]	drugBank01198	Synonyms
Trimethobenzamide hydrochloride	drugBank00662	Synonyms
Wellbutrin XL	drugBank00490	Brand_Names
Ecstasy	drugBank01454	Synonyms
Danedion	drugBank00498	Brand_Names
Laniazid	drugBank00951	Brand_Names
Prednelan	drugBank00860	Brand_Names
Dipyrone monohydrate	drugBank04817	Synonyms
Modrastane	drugBank01108	Brand_Names
Choline cation	drugBank00122	Synonyms
Protormone	drugBank00396	Brand_Names
Quinapril Hcl	drugBank00881	Synonyms
Perhexilene	drugBank01074	Synonyms
naladixic acid	drugBank00779	Brand_Names
Ledertrexate	drugBank00563	Brand_Names
Dihydrotachysterol	drugBank01070	Generic_Name
Uroplus SS	drugBank00440	Brand_Names
Fatroximin	drugBank01220	Brand_Names
Pioglitazone [Ban:Inn]	drugBank01132	Synonyms
RG-1046	drugBank01281	Synonyms
Multifuge	drugBank00592	Brand_Names
NITROCEFIN	drugBank04742	Generic_Name
Dabylen	drugBank01075	Brand_Names
Sorbidnitrate	drugBank00883	Synonyms
7,8-dihydrobiopterin	drugBank04400	Generic_Name
Medocycline	drugBank00759	Brand_Names
Sleighride	drugBank00907	Synonyms
Zometa	drugBank00399	Brand_Names
Diproderm	drugBank00443	Brand_Names
AA4500	drugBank00048	Synonyms
Procetofen	drugBank01039	Brand_Names
Betoptic	drugBank00195	Brand_Names
Exceglan	drugBank00909	Brand_Names
Larixin	drugBank00567	Brand_Names
Flavoquin	drugBank00613	Brand_Names
Chloridyn	drugBank00205	Synonyms
KCL Retard	drugBank00761	Brand_Names
Tolazoline	drugBank00797	Generic_Name
Methyl-beta-phenylisopropylamine	drugBank01577	Synonyms
Streptonivicin	drugBank01051	Brand_Names
Android 25	drugBank00624	Brand_Names
Kephton	drugBank01022	Brand_Names
Leucomycin V, 3-acetate 4B-(3-methylbutanoate)	drugBank01321	Synonyms
Irritants	drugBank00888	Drug_Category
Methoscopylamine Bromide	drugBank00462	Synonyms
Oximetazolinum	drugBank00935	Synonyms
Vival	drugBank00829	Brand_Names
P,P-Sulfonylbisbenzenamine	drugBank00250	Synonyms
Metassalone [Dcit]	drugBank00660	Synonyms
NF-xIII	drugBank04820	Brand_Names
Tetraphenyl-Arsonium	drugBank04435	Generic_Name
2-Keto-3-methylbutyric acid	drugBank04074	Synonyms
Myorexon	drugBank00883	Brand_Names
N-Acetylsulfanilamide	drugBank00634	Brand_Names
Oleandomycin triacetate	drugBank01361	Synonyms
Detergent 66	drugBank00815	Brand_Names
Synophylate-L.A. Cenules	drugBank00277	Brand_Names
Fibonel	drugBank00927	Brand_Names
Ampicillin [Usan:Ban:Inn:Jan]	drugBank00415	Synonyms
Conco sulfate WAG	drugBank00815	Brand_Names
Food Additives	drugBank00974	Drug_Category
Tercospor	drugBank00251	Brand_Names
Miconazole 3	drugBank01110	Brand_Names
Buclizinum [INN-Latin]	drugBank00354	Synonyms
Antara	drugBank01039	Brand_Names
L-Methionine	drugBank00134	Generic_Name
Pantomicina	drugBank00199	Brand_Names
Phosphorylated Aspartate	drugBank03713	Generic_Name
3-phenylpropionic acid	drugBank02024	Generic_Name
Emoquil	drugBank01176	Brand_Names
Magnesium Sulfate	drugBank00653	Generic_Name
Teonova	drugBank00277	Brand_Names
Neufil	drugBank00651	Brand_Names
Oreton-F	drugBank00624	Brand_Names
Demasorb	drugBank01093	Brand_Names
liquid	drugBank01109	Synonyms
Togamycin	drugBank00919	Brand_Names
Cythion	drugBank00772	Brand_Names
Spiroctanie	drugBank00421	Brand_Names
S-Sulfocysteine	drugBank04370	Synonyms
Tobramycetin	drugBank00684	Brand_Names
Caspofungin	drugBank00520	Generic_Name
Profoliol	drugBank00783	Brand_Names
Fondaparinux sodium	drugBank00569	Generic_Name
Satric	drugBank00916	Brand_Names
Tricoxidil	drugBank00350	Brand_Names
Arsenigen Saure [German]	drugBank01169	Synonyms
Leflunomide	drugBank01097	Generic_Name
Rhemacin La	drugBank00328	Brand_Names
Phthalimetten	drugBank04824	Brand_Names
Pernox	drugBank00502	Brand_Names
Urinary antispasmodics	drugBank00496	Drug_Category
Accurbron	drugBank00277	Brand_Names
(5e,13e)-9,15-Dihydroxy-11-Oxoprosta-5,13-Dien-1-Oicacid	drugBank02056	Generic_Name
Bristagen	drugBank00798	Brand_Names
Sulphacetamide Sodium	drugBank00634	Brand_Names
Acephen	drugBank00316	Brand_Names
Plendil Depottab	drugBank01023	Brand_Names
Meloxine	drugBank00553	Brand_Names
Dilpral	drugBank00343	Brand_Names
Desirel	drugBank00656	Brand_Names
Theoclear 80	drugBank00277	Brand_Names
Natulan hydrochloride	drugBank01168	Brand_Names
Diurazida	drugBank01021	Brand_Names
Mantadine	drugBank00915	Brand_Names
Tebuzate	drugBank00730	Brand_Names
Erlotinib	drugBank00530	Generic_Name
Acetophenetidin	drugBank03783	Synonyms
Testoviron Schering	drugBank00624	Brand_Names
Cidanchin	drugBank00608	Brand_Names
Hydril	drugBank00999	Brand_Names
O-hydroxycinnamic acid	drugBank01650	Synonyms
Aleudrine	drugBank01064	Brand_Names
(+-)-nomifensin	drugBank04821	Synonyms
Anti-Infective Agents, Local	drugBank00257	Drug_Category
Magic mist	drugBank03575	Synonyms
Orciprenaline Sulfate	drugBank00816	Synonyms
Metubine iodide	drugBank00416	Brand_Names
Idarubicinum [INN-Latin]	drugBank01177	Synonyms
Corzide	drugBank00436	Brand_Names
IndermRetcin	drugBank00199	Brand_Names
Trifluoroperazine	drugBank00831	Brand_Names
Isotiamida	drugBank00609	Brand_Names
Miscleron	drugBank00636	Brand_Names
Cyclocort	drugBank00288	Brand_Names
PMS-glimepiride	drugBank00222	Brand_Names
1-(4-Amidinophenyl)-3-(4-Chlorophenyl)Urea	drugBank04336	Generic_Name
Factive	drugBank01155	Brand_Names
Bishydroxycoumarin	drugBank00266	Synonyms
Papalease	drugBank01113	Brand_Names
Adjuvants, Anesthesia	drugBank00231	Drug_Category
Beldavrin	drugBank00747	Brand_Names
Delatest	drugBank00624	Brand_Names
Beta-Methasone	drugBank00443	Brand_Names
Sulfonyldianiline	drugBank00250	Synonyms
Fenylepsin	drugBank00252	Brand_Names
P-chloro-alpha,alpha-dimethylphenethylamine	drugBank01556	Synonyms
Ortho-Cyclen	drugBank00977	Brand_Names
Alpha-methylthiofentanyl	drugBank01470	Generic_Name
Cardiotonic Agents	drugBank00235	Drug_Category
Trazinin	drugBank06692	Synonyms
lumiracoxib	drugBank01283	Synonyms
Catapres	drugBank00575	Brand_Names
Naproxen Sodium	drugBank00788	Brand_Names
(2S,3S)-2-Amino-3-methylpentanoic acid	drugBank00167	Synonyms
ranexa	drugBank00243	RxList_Link
Metilfenidato [INN-Spanish]	drugBank00422	Synonyms
Mono Mack	drugBank01020	Brand_Names
Methoin	drugBank00532	Brand_Names
Maraviroc	drugBank04835	Generic_Name
3-Amino-N-(alpha-carboxyphenethyl)succinamic acid N-methyl ester, stereoisomer	drugBank00168	Synonyms
Levitra	drugBank00862	Brand_Names
Novo-Temazepam	drugBank00231	Brand_Names
Metasympatol	drugBank00388	Brand_Names
2-Aminosuccinamic acid	drugBank00174	Synonyms
Focalin	drugBank00422	Brand_Names
N-Naphthalen-1-Ylmethyl-2'-[3,5-Dimethoxybenzamido]-2'-Deoxy-Adenosine	drugBank03331	Generic_Name
Soliris	drugBank01257	Brand_Names
Fluropryl	drugBank00677	Brand_Names
Dexfenfluraminum [Latin]	drugBank01191	Synonyms
Meprofen	drugBank01009	Brand_Names
Glycinamide Ribonucleotide	drugBank02236	Generic_Name
4-Oxoretinol	drugBank02699	Generic_Name
Adrenutol	drugBank00668	Brand_Names
Diketopiperazine	drugBank00592	Synonyms
Trimedal	drugBank00347	Brand_Names
Bioclate	drugBank00025	Brand_Names
Temsirolimus	drugBank06287	Generic_Name
Furomen	drugBank00695	Brand_Names
Dexbrompheniramine	drugBank00405	Generic_Name
2S,3S-Isoleucine	drugBank00167	Synonyms
Prenolone	drugBank00860	Brand_Names
orlistat	drugBank01083	RxList_Link
Provigil	drugBank00745	Brand_Names
Vitamin B7	drugBank00121	Synonyms
Diasone Sodium	drugBank01145	Brand_Names
Winlex	drugBank00567	Brand_Names
Krotenal	drugBank00822	Brand_Names
Neo-Synephrine	drugBank00388	Brand_Names
Enablex	drugBank00496	Brand_Names
Estrogen Antagonists	drugBank00481	Drug_Category
Antidepressive Agents, Second-Generation	drugBank00150	Drug_Category
Thiofaco M-50	drugBank00898	Brand_Names
Adran	drugBank01050	Brand_Names
Veetids '125'	drugBank00417	Brand_Names
R-Gene 10	drugBank00125	Brand_Names
Eunoktin	drugBank01595	Brand_Names
Caracide	drugBank00711	Brand_Names
Tridihexethyl	drugBank00505	Generic_Name
Trans-Dichlorodiammine Platinum	drugBank00515	Synonyms
3,5-Dihydro-5-Methylidene-4h-Imidazol-4-On	drugBank03094	Generic_Name
Alcephin	drugBank00567	Brand_Names
D-Chloramphenicol	drugBank00446	Synonyms
Dibenzoazepine	drugBank00408	Brand_Names
isomono2	drugBank01020	RxList_Link
Crystal Violet BPC	drugBank00406	Brand_Names
Pargyline hydrochloride	drugBank01626	Synonyms
Dihydroflumethiazide	drugBank00695	Synonyms
alitretinoin	drugBank00523	Synonyms
DTIC	drugBank00851	Synonyms
Firmacort	drugBank00959	Brand_Names
Desmethoxyreserpine	drugBank01089	Synonyms
Ciclacillum	drugBank01000	Synonyms
Myciguent	drugBank00994	Brand_Names
Syscor	drugBank00401	Brand_Names
Dom-ursodiol c	drugBank01586	Brand_Names
Cintichem Technetium 99m Hedspa	drugBank01077	Brand_Names
Bifuron	drugBank00614	Brand_Names
Nifar	drugBank01115	Brand_Names
Fexofendine	drugBank00950	Synonyms
Tri-Sulfameth	drugBank00359	Brand_Names
MDMA	drugBank01454	Synonyms
NebuPent	drugBank00738	Brand_Names
Prolixin Enanthate	drugBank00623	Brand_Names
Dicromil	drugBank00977	Brand_Names
Decane	drugBank02826	Generic_Name
Cerubidin	drugBank00694	Brand_Names
Yespazine	drugBank00623	Brand_Names
6-Mercapto-2-aminopurine	drugBank00352	Synonyms
Evac-v-lax	drugBank04824	Brand_Names
Isoendoxan	drugBank01181	Brand_Names
Probamyl	drugBank00371	Brand_Names
P-oxyphenylbutazone	drugBank03585	Synonyms
Acido O-acetil-benzoico	drugBank00945	Synonyms
Nucleocardyl	drugBank00640	Brand_Names
9-(3-(Isopropylamino)propyl))fluorene-9-carboxamide	drugBank00192	Synonyms
Amoxicilina [INN-Spanish]	drugBank01060	Synonyms
Claversal	drugBank00244	Brand_Names
Normalip	drugBank00636	Brand_Names
Iniprol	drugBank06692	Synonyms
Insulin-detemir	drugBank01307	Generic_Name
(3e)-3-[(4-Hydroxyphenyl)Imino]-1h-Indol-2(3h)-One	drugBank03650	Generic_Name
Juvason	drugBank00635	Brand_Names
Listran	drugBank00461	Brand_Names
Nicotion	drugBank00609	Brand_Names
Gammexane	drugBank00431	Brand_Names
Nicacid	drugBank00627	Brand_Names
Percutatrine oestrogenique iscovesco	drugBank00255	Synonyms
Oxybutynine [INN-French]	drugBank01062	Synonyms
1-Bromopropane-2-Ol	drugBank03335	Generic_Name
Hydantocidin-5'-Monophosphate	drugBank02150	Generic_Name
Medetomidina [Spanish]	drugBank00633	Synonyms
Novoheparin	drugBank01109	Brand_Names
Apelagrin	drugBank00627	Brand_Names
Fimeil	drugBank00878	Brand_Names
Loradif	drugBank00455	Brand_Names
BEIH	drugBank04820	Synonyms
Cytosar-U	drugBank00987	Brand_Names
Vanceril Double Strength	drugBank00394	Brand_Names
Zantarac	drugBank00863	Brand_Names
Cetohyroxamic acid	drugBank00551	Synonyms
DynaCire	drugBank00270	Brand_Names
Norlutate	drugBank00717	Brand_Names
Vitamin B12	drugBank00115	Synonyms
Tokiocillin	drugBank00415	Brand_Names
Pepstatin	drugBank00291	Brand_Names
Despec	drugBank00397	Brand_Names
Nalcron	drugBank01003	Brand_Names
Yutopar	drugBank00867	Brand_Names
Listaflex	drugBank00395	Brand_Names
RU83876	drugBank02336	Generic_Name
Trecator	drugBank00609	Brand_Names
Tuttomycin	drugBank00994	Brand_Names
Reserfia	drugBank00206	Brand_Names
Propiomazine	drugBank00777	Generic_Name
Caffedrine	drugBank00201	Brand_Names
Prednisone	drugBank00635	Generic_Name
Flecainidum [INN-Latin]	drugBank01195	Synonyms
Fleroxacin	drugBank04576	Generic_Name
Indometacine	drugBank00328	Synonyms
Methylprednisolone	drugBank00959	Generic_Name
Disynformon	drugBank00655	Brand_Names
Rocket fuel	drugBank03575	Synonyms
Procef	drugBank01150	Brand_Names
Ativan	drugBank00186	Brand_Names
Kyselina mesakonova [Czech]	drugBank04734	Synonyms
Micronutrient	drugBank00114	Drug_Category
E-Pam	drugBank00829	Brand_Names
Timoptic	drugBank00373	Brand_Names
danazol	drugBank01406	RxList_Link
Hypaque	drugBank00271	Brand_Names
Neodioxanin	drugBank00390	Brand_Names
4-Methoxyamphetamine	drugBank01472	Generic_Name
Niflam	drugBank04552	Brand_Names
zolpid	drugBank00425	RxList_Link
Depix	drugBank00695	Brand_Names
zolmit	drugBank00315	RxList_Link
Rescisan	drugBank01180	Brand_Names
Cartric	drugBank01180	Brand_Names
7-Deaza-7-Aminomethyl-Guanine	drugBank03304	Generic_Name
Zidafimia	drugBank00951	Brand_Names
Labopal	drugBank00252	Brand_Names
Mazeptil	drugBank01622	Brand_Names
Flexartal	drugBank00395	Brand_Names
Hyptor	drugBank04833	Brand_Names
(S)-2-Amino-3-(3-Hydroxy-5-Tert-Butyl-Isoxazol-4-Yl)Propionic Acid	drugBank03319	Synonyms
Orgaseptine	drugBank00259	Brand_Names
Aerodose	drugBank00332	Brand_Names
L-3-Hydroxy-2-aminopropionic acid	drugBank00133	Synonyms
Keforal	drugBank00567	Brand_Names
Octahydroindole-2-Carboxylic Acid	drugBank03409	Generic_Name
Entusul	drugBank00263	Brand_Names
Salicylate-sodium	drugBank01398	Generic_Name
Tolterodine [INN]	drugBank01036	Synonyms
Urosemide	drugBank00695	Brand_Names
Troyl tropate	drugBank00572	Brand_Names
(S)-lactaldehyde	drugBank03776	Synonyms
Fulvicin-P/G	drugBank00400	Brand_Names
l-Prostaglandin E1	drugBank00770	Brand_Names
Estreptocida	drugBank00259	Brand_Names
3-Methylfentanyl	drugBank01571	Generic_Name
penlac	drugBank01188	RxList_Link
Digitalis Glycoside	drugBank00390	Synonyms
Splendil Er	drugBank00585	Brand_Names
Oxalatoplatinum	drugBank00526	Synonyms
Beflavin	drugBank00140	Brand_Names
Opticron	drugBank01003	Brand_Names
Gynlutin	drugBank00396	Brand_Names
Ed-In-Sol	drugBank01592	Brand_Names
Phenoxymethylpenicillin Potassium	drugBank00417	Synonyms
Daricon	drugBank00383	Brand_Names
Atrovis	drugBank00636	Brand_Names
Exter	drugBank00338	Brand_Names
Acedobene [INN-French]	drugBank04500	Synonyms
Bafameritin-M	drugBank00784	Brand_Names
S-Adenosylmethionine	drugBank00118	Generic_Name
Hemocyte	drugBank01592	Brand_Names
Ethylolamine	drugBank00898	Synonyms
Coronarine	drugBank00975	Brand_Names
Methanthelinium Bromide	drugBank00940	Synonyms
Pectril	drugBank00567	Brand_Names
Lutromone	drugBank00396	Brand_Names
4-Hydroxy-3,5-Dimethyl-5-(2-Methyl-Buta-1,3-Dienyl)-5h-Thiophen-2-One	drugBank04302	Generic_Name
Vesprin	drugBank00420	Brand_Names
Eskazinyl	drugBank00831	Brand_Names
3-[N-[Benzyloxycarbonyl]-Phenylalaninyl-Amino]-5-Phenyl-Pentane-1-Sulfonylmethylbenzene	drugBank02200	Generic_Name
Bisoxyphen	drugBank04813	Brand_Names
Metolquizolone	drugBank04833	Brand_Names
2'-Monophosphoadenosine-5'-Diphosphoribose	drugBank04497	Generic_Name
Adalat Crono	drugBank01115	Brand_Names
Candesartan cilexetil	drugBank00796	Synonyms
5-Fluoro-uridine	drugBank01629	Synonyms
Loracert	drugBank00455	Brand_Names
Para-Iodo-D-Phenylalanine Hydroxamic Acid	drugBank01980	Generic_Name
Proximetacaina [INN-Spanish]	drugBank00807	Synonyms
flunisolide	drugBank00180	RxList_Link
Notidin	drugBank00927	Brand_Names
Acetylmethadolum [inn-latin]	drugBank01433	Synonyms
Alphadrol	drugBank00860	Brand_Names
Alpha-L-Methyl-Fucose	drugBank03879	Generic_Name
Emal os	drugBank00815	Brand_Names
Phenylbutazone	drugBank00812	Generic_Name
SR11254	drugBank02258	Generic_Name
(S)-2-Amino-3-(6h-Selenolo[2,3-B]-Pyrrol-4-Yl)-Propionic Acid	drugBank03043	Generic_Name
Antiflex	drugBank01173	Brand_Names
amifostine	drugBank01143	RxList_Link
Benadrin	drugBank01075	Brand_Names
Oestrogel	drugBank00783	Brand_Names
Uniphyl	drugBank00277	Brand_Names
Alk-Aubs	drugBank00822	Brand_Names
Xylose-Derived Lactam Oxime	drugBank01921	Generic_Name
Entacapone	drugBank00494	Generic_Name
Polymyxin B sulfate salt	drugBank00781	Synonyms
4-Chloro-N-(2-morpholin-4-yl-ethyl)-benzamide	drugBank01171	Synonyms
Xyntha	drugBank00025	Brand_Names
Secalip	drugBank01039	Brand_Names
Artifar	drugBank00395	Brand_Names
Rotahaler	drugBank01001	Brand_Names
Antiepileptic Agents	drugBank00832	Drug_Category
3'-Oxo-Adenosine	drugBank03273	Generic_Name
Wellbutrin	drugBank01156	Brand_Names
Polcortolon	drugBank00620	Brand_Names
olsal	drugBank01250	RxList_Link
Moracizine	drugBank00680	Synonyms
Nafcillin Sodium	drugBank00607	Synonyms
Salazosulfapyridin	drugBank00795	Brand_Names
2-Methyl-3-(o-tolyl)-4-quinazolone hydrochloride	drugBank04833	Synonyms
1,3-Propandiol	drugBank02774	Generic_Name
Cepexin	drugBank00567	Brand_Names
Monodox	drugBank00254	Brand_Names
Tona-lean 1000 CLA	drugBank00154	Brand_Names
Largon	drugBank00777	Brand_Names
Ethosuccimide	drugBank00593	Synonyms
Zylet	drugBank00873	Brand_Names
Royal blue	drugBank04829	Synonyms
2-(Acetylamino)-2-Deoxy-4-O-Beta-D-Galactopyranosyl-Alpha-D-Glucopyranose	drugBank03618	Generic_Name
tiro	drugBank00775	RxList_Link
Trimedone	drugBank00347	Brand_Names
Methotrimeprazine	drugBank01403	Generic_Name
Hexadecanoic acid	drugBank03796	Synonyms
Meroxylan-Wander	drugBank00406	Brand_Names
Felodipine [Usan:Ban:Inn]	drugBank01023	Synonyms
Neutraphylline	drugBank00651	Brand_Names
Thiamin Phosphate	drugBank03416	Generic_Name
Sporostatin	drugBank00400	Brand_Names
Omeprazole	drugBank00338	Generic_Name
Sedatine	drugBank01435	Brand_Names
phenterm	drugBank00191	RxList_Link
Anteyl	drugBank00822	Brand_Names
Isocaramidine	drugBank04840	Synonyms
Methaphenilene	drugBank04819	Brand_Names
Alevaire	drugBank06439	Brand_Names
Ketohydroxyoestrin	drugBank00655	Brand_Names
Desernyl	drugBank00247	Brand_Names
Cromoglicic Acid	drugBank01003	Synonyms
Oxyphenisatine	drugBank04823	Synonyms
Heptamolybdate	drugBank04414	Generic_Name
Bishydroxy[2h-1-Benzopyran-2-One,1,2-Benzopyrone]	drugBank04392	Generic_Name
Mexidex	drugBank01234	Brand_Names
Nialamide	drugBank04820	Generic_Name
Gefitinib	drugBank00317	Generic_Name
Orange sunshine	drugBank04829	Synonyms
Chorionic gonadotrophin beta subunit	drugBank00097	Synonyms
Rianil	drugBank00269	Brand_Names
Homapin-5	drugBank00572	Brand_Names
Otocort	drugBank00741	Brand_Names
Herpesil	drugBank00249	Brand_Names
Tussade	drugBank00514	Brand_Names
16alpha-Hydroxyoestradiol	drugBank04573	Synonyms
Oflodura	drugBank01165	Brand_Names
Kestrone	drugBank00655	Brand_Names
mebend	drugBank00643	RxList_Link
Diureido-Acetate	drugBank04380	Generic_Name
Metric 21	drugBank00916	Brand_Names
Phensuximid	drugBank00832	Brand_Names
apomorphine	drugBank00714	Synonyms
Biocycline	drugBank00759	Brand_Names
Norcolut	drugBank00717	Brand_Names
Promethazin	drugBank01069	Synonyms
Serpasil-Esidrix	drugBank00206	Brand_Names
Buformina [inn-spanish]	drugBank04830	Synonyms
Etotoina [INN-Spanish]	drugBank00754	Synonyms
14-Hydroxydihydromorphinone	drugBank01192	Synonyms
Aristophyllin	drugBank00651	Brand_Names
Caswell No. 426	drugBank00898	Synonyms
Idotrim	drugBank00440	Brand_Names
Interferon alpha-A	drugBank00011	Synonyms
Stilbofolin	drugBank00255	Brand_Names
Anatensol	drugBank00592	Brand_Names
Pioglitazona [INN-Spanish]	drugBank01132	Synonyms
Finevin	drugBank00548	Brand_Names
Localyn Syntex	drugBank00591	Brand_Names
Epinefrin [Czech]	drugBank00668	Synonyms
Aloperidin	drugBank00502	Brand_Names
Neurozina	drugBank00557	Brand_Names
Durvitan	drugBank00201	Brand_Names
didronel	drugBank01077	RxList_Link
Germa-Medica	drugBank00756	Brand_Names
Para-Amino Salicylic Acid	drugBank00233	Synonyms
Fluocet	drugBank00591	Brand_Names
Rillasol	drugBank01178	Brand_Names
Leucovorin folinic acid	drugBank00650	Synonyms
Orolevol	drugBank00371	Brand_Names
S-Methylcysteine	drugBank02216	Generic_Name
Sadofos 30	drugBank00772	Brand_Names
Cyclo-Tetrametavanadate	drugBank02147	Generic_Name
N6-METHYL-(R)-ROSCOVITINE, R-2-[6-(BENZYL-METHYL-AMINO)-9-ISOPROPYL-9H-PURIN-2-YLAMINO]-BUTAN-1-OL	drugBank04776	Generic_Name
Aminocaproic Acid	drugBank00513	Generic_Name
Vincristine	drugBank00541	Generic_Name
Wynestron	drugBank00655	Brand_Names
Bendopa	drugBank01235	Brand_Names
Methamazole	drugBank00763	Synonyms
Secobarbital	drugBank00418	Generic_Name
Niacet calcium acetate tech	drugBank00258	Brand_Names
Adebit	drugBank04830	Brand_Names
Gamma-Glutamylcysteine	drugBank03408	Generic_Name
Triostat	drugBank00279	Brand_Names
Apo-cyproterone	drugBank04839	Brand_Names
Pfizerpen	drugBank01053	Brand_Names
Phenobolin	drugBank00984	Brand_Names
pravast	drugBank00175	RxList_Link
Alvedon	drugBank00316	Brand_Names
Isonicotan	drugBank00951	Brand_Names
Macrofuran	drugBank00698	Brand_Names
General Anesthetics	drugBank00228	Drug_Category
Adermine hydrochloride	drugBank00165	Synonyms
Sominex	drugBank01075	Brand_Names
leukeran	drugBank00291	RxList_Link
Tamate	drugBank00371	Brand_Names
2-{[(2R)-2,3-dihydroxypropoxy](hydroxy)phosphoryloxy}-N,N,N-trimethylethanaminium	drugBank04660	Synonyms
Pentosan Polysulfate	drugBank00686	Generic_Name
Andronaq	drugBank00624	Brand_Names
Novomazina	drugBank00420	Brand_Names
K Tab	drugBank00761	Brand_Names
Heparin Cy 216	drugBank01109	Brand_Names
heparin	drugBank00407	RxList_Link
Terazosinum [INN-Latin]	drugBank01162	Synonyms
Glupizide	drugBank01067	Brand_Names
2-Methyl-3-(2-methylphenyl)-4-quinazolinone	drugBank04833	Synonyms
Sulfex	drugBank00634	Brand_Names
L-CYSTEIN-S-1-(IMINOMETHYL)-L-ORNITHINE	drugBank04671	Generic_Name
Bromanautine	drugBank01237	Synonyms
Cefalexine [INN-French]	drugBank00567	Synonyms
Tofranil, Base	drugBank00458	Brand_Names
Purgen	drugBank04824	Brand_Names
Minipress Xl	drugBank00457	Brand_Names
Pyridicin	drugBank00951	Brand_Names
depakene	drugBank00313	RxList_Link
Nunol	drugBank01174	Brand_Names
Exjade	drugBank01609	Brand_Names
Sympatedrine	drugBank00182	Brand_Names
doxepin	drugBank01142	RxList_Link
