termName	cui	tty
Sciatica	C0036396	disorder
Diabetic neuropathy	C0011882	disorder
Diabetic mononeuropathy	C0271678	disorder
Motor neuropathy with multiple conduction block	C0393847	disorder
Ocular myasthenia	C0751340	disorder
Cerebrovascular accident	C0038454	disorder
Lacunar infarction	C0333559	disorder
Carotid artery dissection	C0338585	disorder
Transient global amnesia	C0338591	finding
Hydrocephalus	C0020255	disorder
Obstructive hydrocephalus	C0549423	disorder
Brain ventricular shunt obstruction	C0394032	disorder
Excision of tumor of brain meninges	C0472392	procedure
Unprotected sexual intercourse	C1578545	finding
Acute drug intoxication	C0456824	disorder
Acute transient psychotic disorder	C0349198	disorder
Mixed anxiety and depressive disorder	C0338908	disorder
Language development disorder	C0023014	disorder
Speech and language disorder	C0023009	disorder
Delayed AND/OR secondary postpartum hemorrhage	C0473508	disorder
Exchange of intraocular lens	C0339027	procedure
Seborrheic blepharitis	C0149842	disorder
Laceration of eyelid	C0339094	disorder
Benign tumor of eyelid	C0339107	disorder
Basal cell carcinoma of eyelid	C0339114	disorder
Complete obstruction of lacrimal canaliculus	C0339127	disorder
Atopic conjunctivitis	C0009766	disorder
Seasonal allergic conjunctivitis	C0339164	disorder
Giant papillary conjunctivitis	C0009769	disorder
Menstrual migraine	C0269226	disorder
Conjunctival foreign body	C0339177	disorder
Macular hole	C0024441	disorder
Anterior proliferative vitreoretinopathy	C0339468	disorder
Posterior proliferative vitreoretinopathy	C0339469	disorder
Congenital hypertrophy of retinal pigment epithelium	C0339555	disorder
Glaucoma suspect	C0017614	situation
Neovascular glaucoma	C0017609	disorder
Anisometropic amblyopia	C0339696	disorder
Nasal obstruction	C0027429	finding
Chronic non-suppurative otitis media	C0395869	disorder
High frequency deafness	C0018780	disorder
Non-infective non-allergic rhinitis	C0339804	disorder
House dust mite allergy	C0339808	disorder
Common variable agammaglobulinemia	C0009447	disorder
Enlargement of tonsil or adenoid	C0155829	disorder
Fibroadenosis of breast	C1305875	disorder
Double lung transplant	C0396599	procedure
Coronary artery bypass grafting	C0010055	procedure
Coronary artery bypass grafts x 2	C0396767	procedure
Coronary artery bypass grafts x 3	C0396777	procedure
Coronary artery bypass grafts x 4	C0396783	procedure
Coronary artery bypass grafts x 5	C0396789	procedure
Rupture of eye with partial loss of intraocular tissue	C0160469	disorder
Sports injury	C0004161	morphologic abnormality
Radiofrequency ablation operation for arrhythmia	C0397410	procedure
Cardiac pacemaker procedure	C0397420	procedure
Reprogramming of cardiac pacemaker	C0397447	procedure
Transjugular intrahepatic portosystemic shunt	C0339897	procedure
Stripping of vein	C0149807	procedure
Sunburn	C0038814	disorder
Vascular cannula removal	C0398305	procedure
Pneumonia	C0032285	disorder
Atypical pneumonia	C1412002	disorder
Asbestos-induced pleural plaque	C0340025	disorder
Interstitial lung disease	C0206062	disorder
Atypical absence seizure	C0595948	disorder
Respiratory failure without hypercapnia	C0340194	disorder
Postoperative cardiac complication	C0340276	disorder
Triple vessel disease of the heart	C0340285	disorder
Stable angina	C0340288	disorder
Stress fracture	C0016664	morphologic abnormality
Old anterior myocardial infarction	C0340320	disorder
Cardiac syndrome X	C0206064	finding
Hypertrophic cardiomyopathy	C0007194	disorder
Visual field scotoma	C0036454	finding
Heart block	C0018794	disorder
Atrioventricular block	C0004245	disorder
Aortoiliac atherosclerosis	C0729733	disorder
Critical lower limb ischemia	C0340566	disorder
Ruptured cerebral aneurysm	C0242084	disorder
Thoracoabdominal aortic aneurysm	C0340630	disorder
Abdominal aortic aneurysm	C0162871	disorder
Carotid artery aneurysm	C0340639	disorder
Fracture of upper limb	C0178316	disorder
Congenital pes planus	C0392477	disorder
Lymphedema	C0024236	disorder
Lymphocele	C0024248	disorder
Congenital arteriovenous malformation	C0003857	disorder
Cerebral arteriovenous malformation	C0917804	disorder
Drug-induced hypotension	C0340858	disorder
Disorder of implantable defibrillator	C0340933	disorder
Measurement of respiratory function	C0035227	procedure
Splenectomy	C0037995	procedure
Anemia of chronic disorder	C0002873	disorder
Anemia of renal disease	C0472713	disorder
Microcytic anemia	C0085576	disorder
Thrombophilia	C0398623	disorder
Immunodeficiency disorder	C0021051	disorder
Graft-versus-host disease	C0018133	disorder
Fit partial denture	C0399090	procedure
Tooth disorder	C0040435	disorder
Tooth eruption disorder	C0012767	disorder
Lyme disease	C0024198	disorder
Oral lichen planus	C0206139	disorder
Impacted tooth	C0040456	disorder
Odontogenic cyst	C0028879	disorder
Herpesvirus infection	C0019372	disorder
Percutaneous endoscopic gastrostomy	C0176751	procedure
Chronic pancreatitis	C0149521	disorder
Gastroesophageal reflux disease	C0017168	disorder
Eosinophilic esophagitis	C0341106	disorder
Asperger's disorder	C0236792	disorder
Gastric erosion	C1384498	disorder
Gastroparesis	C0152020	disorder
Metatarsus adductus	C0265648	disorder
Food intolerance	C0149696	disorder
Perforation of small intestine	C0151739	disorder
Microscopic colitis	C0400821	disorder
Radiation proctitis	C0400827	disorder
Perianal Crohn's disease	C0341395	disorder
Bolus obstruction of intestine	C0400851	disorder
Postoperative intestinal obstruction	C0494809	disorder
Motility disorder of intestine	C0400865	disorder
Pseudo-obstruction of intestine	C0021847	disorder
Small intestinal gangrene	C0235327	disorder
Angiodysplasia of intestine	C0267367	disorder
Disorder of liver	C0023895	disorder
Acute hepatitis C	C0400914	disorder
Hepatitis B carrier	C0262505	finding
Hepatitis C carrier	C0400920	finding
Alcoholic hepatitis	C0019187	disorder
Liver transplant rejection	C0400968	disorder
Sclerosing cholangitis	C0008313	disorder
Obstruction of biliary tree	C0400979	disorder
Gallbladder calculus	C0947622	disorder
Biliary stricture	C0597984	disorder
Fecal peritonitis	C0473119	disorder
Malignant ascites	C0220656	disorder
Incisional hernia	C0267716	disorder
Obstructed internal hernia	C0401115	disorder
Parastomal hernia	C0341539	disorder
Sliding hiatus hernia	C0376710	disorder
Chronic constipation	C0401149	disorder
Chronic diarrhea	C0401151	disorder
Gastrointestinal anastomotic stricture	C0341582	disorder
Retraction of stoma	C0341594	disorder
Peristomal dermatitis	C0341601	disorder
Chronic pericarditis	C0265143	disorder
IgA nephropathy	C0017661	disorder
Renal impairment	C0341697	disorder
Chronic renal impairment	C0403447	disorder
Acute-on-chronic renal failure	C0403462	disorder
End stage renal failure on dialysis	C0403464	disorder
Medullary sponge kidney	C0022681	disorder
Organic mood disorder	C0029232	disorder
Peritoneal dialysis catheter exit site infection	C0403571	disorder
Obstruction of peritoneal dialysis catheter	C0403576	disorder
Renal transplant rejection	C0238217	disorder
Functional disorder of bladder	C0403641	disorder
Bladder muscle dysfunction - overactive	C0403643	disorder
Bladder outflow obstruction	C0403654	disorder
Benign prostatic hypertrophy with outflow obstruction	C0341740	disorder
Acute retention of urine	C0341742	disorder
Chronic retention of urine	C0341743	disorder
Calyceal renal calculus	C0403714	disorder
Calculus in pelviureteric junction	C0403717	disorder
Rheumatic heart disease	C0035439	disorder
Coronary artery spasm	C0010073	disorder
Hysterectomy	C0020699	procedure
Acute pelvic inflammatory disease	C0149959	disorder
Chronic pelvic inflammatory disease	C0149960	disorder
Chronic pelvic pain of female	C0404484	disorder
Endometrial hyperplasia	C0014173	disorder
Chlamydial cervicitis	C0341834	disorder
Vaginal vault hematoma	C0473313	disorder
Chocolate cyst of ovary	C0269102	disorder
Contusion of cerebral cortex	C0272950	disorder
Menopause ovarian failure	C0341868	disorder
Nasal vestibulitis	C0339825	disorder
Benign essential hypertension complicating AND/OR reason for care during pregnancy	C0269622	disorder
Transplantation of bone marrow	C0005961	procedure
Teenage pregnancy	C0032968	finding
Preterm rupture of membranes	C0015944	disorder
Transient hypertension of pregnancy	C0341934	disorder
Puerperal pyrexia	C1331543	disorder
Thyroid nodule	C0040137	disorder
Postablative hypothyroidism	C0342165	disorder
Mass of thyroid gland	C0349453	finding
Multinodular goiter	C0342208	disorder
Insulin-treated non-insulin-dependent diabetes mellitus	C0342266	disorder
Metabolic syndrome X	C0524620	disorder
Impaired glucose tolerance in pregnancy	C0342307	disorder
Drug-induced hypoglycemia	C0342321	disorder
Hyperprolactinemia	C0020514	disorder
Mass of pituitary	C0342419	finding
Open wound of finger with tendon involvement	C0160622	disorder
Mass of adrenal gland	C0342500	finding
Premature ovarian failure	C0085215	disorder
Short stature disorder	C0013336	disorder
Familial combined hyperlipidemia	C0020474	disorder
Fredrickson type IV hyperlipoproteinemia	C0020480	disorder
Fredrickson type I hyperlipoproteinemia	C0023817	disorder
Deficiency of macronutrients	C0033677	disorder
Cachexia	C0006625	finding
Overweight	C0497406	finding
Morbid obesity	C0028756	disorder
Repair of ventral hernia	C0019334	procedure
Continuous ambulatory peritoneal dialysis	C0031140	procedure
Cellulitis of leg	C0343024	disorder
Polymorphic light eruption	C0031736	disorder
Hand eczema	C0239816	disorder
Psoriasiform eczema	C0262985	disorder
Allergic contact dermatitis	C0162820	disorder
Psoriasis-eczema overlap condition	C0406319	disorder
Post-inflammatory hyperpigmentation	C0333616	disorder
Comedonal acne	C0406481	disorder
Acne keloid	C0001145	disorder
Sebaceous hyperplasia	C0406484	disorder
Perioral dermatitis	C0263449	disorder
Livedo reticularis	C0085642	disorder
Venous stasis syndrome	C0277919	disorder
Ischemic leg ulcer	C0473557	disorder
Flushing	C0016382	disorder
Vulvodynia	C0406670	disorder
Closed fracture of upper end of tibia	C0159854	disorder
Subretinal neovascularization	C0423433	finding
External hemorrhoids	C0265040	disorder
Wound hematoma	C0281860	finding
Labyrinthitis	C0022893	disorder
Tight chest	C0232292	finding
Reconstruction of anterior cruciate ligament of knee joint	C0188185	procedure
Colectomy	C0009274	procedure
Tear of meniscus of knee	C0238218	disorder
Deficiency of anterior cruciate ligament	C0409310	disorder
Rupture of anterior cruciate ligament	C0409312	disorder
Rupture of posterior cruciate ligament	C0409316	disorder
Contracture of elbow joint	C0343144	disorder
Contracture of wrist joint	C0343145	disorder
Contracture of joint of finger	C0343146	disorder
Joint mice in knee	C0343161	disorder
Knee pyogenic arthritis	C0409542	disorder
Post-infective arthritis	C0085435	disorder
Seropositive rheumatoid arthritis	C0409651	disorder
Seronegative rheumatoid arthritis	C0409652	disorder
Juvenile chronic arthritis	C0553662	disorder
Calcium pyrophosphate deposition disease	C0553730	disorder
Glaucoma	C0017601	disorder
Osteoarthritis of acromioclavicular joint	C0409963	disorder
Osteoarthritis of elbow	C0409954	disorder
Osteoarthritis of wrist	C0409955	disorder
Osteoarthritis of finger joint	C0409936	disorder
Osteoarthritis of hip	C0029410	disorder
Osteoarthritis of knee	C0409959	disorder
Osteoarthritis of ankle	C0409931	disorder
Lumbar spondylosis	C0149983	disorder
Undifferentiated connective tissue disease	C0409999	disorder
Microscopic polyarteritis nodosa	C0343192	disorder
Impingement syndrome of shoulder region	C0376685	disorder
Bursitis of shoulder	C0262399	disorder
Tendinitis AND/OR tenosynovitis of the elbow region	C0410031	disorder
Tendinitis AND/OR tenosynovitis of the wrist AND/OR hand (disorder)	C0410039	disorder
Ischial bursitis	C0410076	disorder
Semimembranosus bursitis	C0410092	disorder
Tenosynovitis of fingers	C0410139	disorder
Tophus	C0221248	disorder
Acute contagious conjunctivitis	C1313983	disorder
Hypokalemic periodic paralysis	C0238358	disorder
Aphakia	C0003534	disorder
Rhabdomyolysis	C0035410	disorder
Bone necrosis	C0029445	disorder
Osteoporotic vertebral collapse	C0410549	disorder
Synovial cyst	C0085648	disorder
Prolapsed cervical intervertebral disc	C0410619	disorder
Acquired deformity of joint of foot	C1384457	disorder
Breastfeeding problem in the newborn	C0410928	finding
Erythroderma neonatorum	C0263324	disorder
Human papilloma virus infection	C0343641	disorder
Plane wart	C0276262	disorder
Diaper candidiasis	C0343874	disorder
Presumed ocular histoplasmosis syndrome	C0339403	disorder
Atopic dermatitis	C0011615	disorder
Insomnia disorder related to another mental disorder	C0236809	disorder
Endoscopy of urinary bladder	C0010702	procedure
Lumbosacral radiculopathy	C0154738	disorder
Bee sting	C0413120	disorder
Feeling agitated	C0085631	finding
Fall from one level to another	C0417024	event
Construction of standard ileal conduit	C0348002	procedure
Pulmonary sarcoidosis	C0036205	disorder
Antenatal screening	C0740178	procedure
Child examination	C0419619	procedure
Sigmoidoscopy	C0037075	procedure
Closed fracture of phalanx of finger	C0272698	disorder
Hemorrhoidectomy	C0019108	procedure
Inflammatory bowel disease	C0021390	disorder
Cyst of vagina	C0241619	disorder
Acquired spondylolysis	C0158513	disorder
Venous retinal branch occlusion	C0339505	disorder
Screening mammography	C0203028	procedure
Partial seizure evolving to secondary generalized seizure	C0474327	disorder
Influenza due to Influenza virus, type B	C0276353	disorder
Hazy vision	C0344232	disorder
Ptosis of eyebrow	C0423122	finding
Multiple sclerosis	C0026769	disorder
Posterior vitreous detachment	C0423361	disorder
Macular pigment deposit	C0423422	disorder
Retinal drusen	C0035312	finding
Macular drusen	C0677628	finding
Tenderness	C0234233	finding
Flank pain	C0016199	finding
Facet joint pain	C0423690	finding
Ankle pain	C0238656	finding
Intercostal neuralgia	C0344306	disorder
Neuropathic pain	C0423716	finding
Wrinkled skin	C0037301	finding
Erythema	C0041834	finding
Broken skin	C0150077	disorder
Excoriation of skin	C0241071	disorder
Comedone	C0221228	disorder
Maculopapular eruption	C0423791	disorder
Poor short-term memory	C0701811	finding
Superficial thrombophlebitis	C1510431	disorder
Seasonal affective disorder	C0085159	disorder
Viral gastroenteritis due to Norwalk-like agents	C0276619	disorder
Problematic behavior in children	C0474413	finding
Self-harm	C0424366	finding
Bleeding gastric varices	C0267209	disorder
Developmental delay	C0424605	disorder
Underweight	C0041667	finding
Lump on finger	C0424853	finding
Rectal mass	C0240873	finding
Family problems	C0424960	finding
Clearing throat - hawking	C0425496	finding
Sputum - symptom	C0425512	finding
Heart irregular	C0237314	finding
Severe adrenal insufficiency	C0151467	disorder
Absence of breast	C0425775	finding
Atrophic vulva	C0156393	disorder
Labial adhesions	C0240140	finding
Footling breech presentation	C0426147	finding
Perinatal jaundice from excessive hemolysis	C0270207	disorder
Bloodstained liquor	C0427792	finding
Failure to progress in second stage of labor	C0474481	finding
Vaginal tear resulting from childbirth	C0426270	disorder
Urinary symptoms	C0426359	finding
Incomplete emptying of bladder	C0344365	finding
Spasm of bladder	C0426390	finding
Nasal deviation	C0456541	finding
Vocal cord cyst	C0426551	disorder
Choking	C0008301	finding
Abdominal bruit	C0221755	finding
Large prostate	C0426732	finding
Feces contents abnormal	C0476346	finding
Sacral dimples	C0426848	finding
Uterine prolapse	C0042140	disorder
Bowing of leg	C0544755	finding
Tibial torsion	C0426900	finding
Diplopia	C0012569	disorder
Knee stiff	C0240129	finding
Hip stiff	C0239957	finding
Hand joint stiff	C0427036	finding
Shoulder stiff	C0241042	finding
Proximal muscle weakness	C0221629	finding
Monoparesis - arm	C0751409	disorder
Monoparesis - leg	C0427068	disorder
Toe-walking gait	C0427144	finding
Unstable knee	C0427262	finding
Pregnancy test positive	C0240802	finding
Pregnancy test negative	C0427780	finding
Headache	C0018681	finding
Resting tremor	C0234379	finding
Diabetic oculopathy	C0342245	disorder
Cardioversion	C0013778	procedure
Atrioventricular nodal re-entry tachycardia	C0039232	disorder
Ventricular premature complex	C0151636	disorder
Alveolar periostitis	C0013240	disorder
Neuroma	C0027858	morphologic abnormality
Cystocele	C0010695	disorder
Dysfunctional voiding of urine	C0429826	finding
Disease due to Adenovirus	C0001486	disorder
Cardiac electrophysiology	C0430467	procedure
Auditory testing	C0018786	procedure
Viremia	C0042749	finding
Merkel cell carcinoma	C0007129	disorder
Macroprolactinoma	C0344453	disorder
Benign pheochromocytoma	C0474822	disorder
Chiari malformation	C0003803	disorder
Chiari malformation type I	C0431411	disorder
Epiblepharon	C0344503	disorder
Atrioventricular septal defect: atrial and ventricular components	C0344787	disorder
Craniotomy	C0010280	procedure
Congenital laryngomalacia	C0345160	disorder
Gastroenteritis	C0017160	disorder
Embryonic cyst of broad ligament	C0345303	disorder
Closed fracture of femur	C0272729	disorder
Peripheral neuralgia	C0031121	disorder
Carcinoma of parotid gland	C0345602	disorder
Tumor of submandibular gland	C0038558	disorder
Carcinoma of upper third of esophagus	C0345779	disorder
Carcinoma of body of stomach	C0345804	disorder
Carcinoma of pyloric antrum	C0345809	disorder
Carcinoma of duodenum	C1546189	disorder
Acute gastritis	C0149518	disorder
Adenocarcinoma of rectum	C0149978	disorder
Carcinoma of ampulla of Vater	C0262401	disorder
Carcinoma of endocrine pancreas	C1328479	disorder
Adenocarcinoma of lung	C0152013	disorder
Small cell carcinoma of lung	C0149925	disorder
Squamous cell carcinoma of lung	C0149782	disorder
Non-small cell lung cancer	C0007131	disorder
Malignant mesothelioma of pleura	C0812413	disorder
Squamous cell carcinoma of skin	C0553723	disorder
Keratosis	C0022593	disorder
Infected sebaceous cyst	C0345989	disorder
Trichilemmal cyst	C2266788	disorder
Milial cyst	C0345996	disorder
Basal cell carcinoma of skin	C0007117	disorder
Fibrous histiocytoma of skin	C0002991	disorder
Foreign body in pharynx	C0161010	disorder
Angiosarcoma of skin	C0346081	disorder
Compound nevus of skin	C0259781	disorder
Dysplastic nevus of skin	C0205748	disorder
Atypical mole syndrome	C0013403	disorder
Liposarcoma	C0023827	disorder
Malignant tumor of breast	C0006142	disorder
Carcinoma of breast	C0678222	disorder
Fibroadenoma of breast	C0178421	disorder
Endometrial carcinoma	C0476089	disorder
Carcinoma of prostate	C0600139	disorder
Benign prostatic hypertrophy without outflow obstruction	C0346215	disorder
Clear cell carcinoma of kidney	C0279702	disorder
Angiomyolipoma of kidney	C0241961	disorder
Intracranial glioma	C0349661	disorder
Astrocytoma of brain	C0004114	disorder
Pituitary adenoma	C0032000	disorder
Functionless pituitary adenoma	C0338078	disorder
Social phobia	C0031572	disorder
Malignant melanoma of choroid	C0346388	disorder
Nevus of choroid	C0346392	disorder
Follicular thyroid carcinoma	C0206682	disorder
Papillary thyroid carcinoma	C0238463	disorder
Medullary thyroid carcinoma	C0238462	disorder
Thyroid follicular adenoma	C0151468	disorder
Adrenal carcinoma	C1370740	disorder
Malignant tumor of unknown origin	C0027667	disorder
Malignant tumor of head and/or neck	C0278996	disorder
Squamous cell carcinoma of lip	C0280302	disorder
Malignant tumor of salivary gland	C0220636	disorder
Carcinoma of bladder	C0699885	disorder
Transitional cell carcinoma of bladder	C0279680	disorder
Benign neoplasm of respiratory system	C0497556	disorder
Papilloma of skin	C0347390	disorder
Lipoma of skin	C0347394	disorder
Tooth loss	C0080233	finding
Periodontal disease	C0031090	disorder
Ventricular tachycardia	C0042514	disorder
Lichen sclerosus et atrophicus	C0023652	disorder
Papule	C0332563	morphologic abnormality
Alcohol intoxication	C0001969	disorder
Mixed receptive-expressive language disorder	C0236827	disorder
Focal glomerular sclerosis	C0017668	disorder
Hemorrhage in early pregnancy	C0156604	disorder
Soy protein sensitivity	C0266816	disorder
Closed bimalleolar fracture	C0392611	disorder
Calculus of gallbladder with cholecystitis	C0267853	disorder
Residual schizophrenia	C0036351	disorder
Neurosyphilis	C0027927	disorder
Chronic allergic conjunctivitis	C0271294	disorder
Tremor	C0040822	finding
Abnormal involuntary movement	C0392702	disorder
Complete transposition of great vessels	C0040761	disorder
Follicular cyst of ovary	C0016429	disorder
Primary pulmonary hypertension	C0152171	disorder
High anal fistula	C0348083	disorder
Replacement of aortic valve	C0003506	procedure
Weight decreased	C0043096	finding
Weight increased	C0043094	finding
Ankle edema	C0235439	finding
Thumb injury	C0262649	disorder
Chest injury	C0039980	disorder
Bruise of head	C0432747	disorder
Human bite - wound	C0433054	disorder
Foreign body in respiratory tract	C0433654	disorder
Laceration of liver	C0347633	disorder
Ulcer of mouth	C0149745	disorder
Radical prostatectomy	C0194810	procedure
Traumatic subdural hematoma	C0475059	disorder
Traumatic subarachnoid hemorrhage	C0475073	disorder
Strain of back muscle	C0347721	disorder
Rupture of muscle	C0149732	disorder
Strain of tendon of back	C0434321	disorder
Hamstring sprain	C0434423	disorder
Leg sprain	C0272893	disorder
Sprain of toe joint	C0434480	disorder
Joint capsule sprain	C0434482	disorder
Dislocation of patellofemoral joint	C1135812	disorder
Sprain of ligament of elbow	C0435024	disorder
Ligament rupture	C0262538	disorder
Blow out fracture of orbit	C0347775	disorder
Fractured nasal bones	C0339848	disorder
Fracture of mandible	C0024692	disorder
Fracture of radial head	C0435577	disorder
Fracture of shaft of radius and/or ulna	C0435627	disorder
Fracture of distal end of radius and ulna	C0435630	disorder
Fracture of proximal end of femur	C0435805	disorder
Subtrochanteric fracture of femur	C0162386	disorder
Closed fracture of femur, distal end	C0159837	disorder
Bimalleolar fracture of ankle	C0435908	disorder
Fracture of calcaneus	C0281926	disorder
Metatarsal bone fracture	C0435943	disorder
Thrombosed external hemorrhoids	C0155784	disorder
Toxic multinodular goiter	C0154143	disorder
Total colectomy	C0192871	procedure
Drug abuse	C0013146	disorder
Closed fracture of shaft of femur	C0159833	disorder
Thyroid dysfunction	C0348024	disorder
Slipped upper femoral epiphysis	C0158441	disorder
Insertion of pleural tube drain	C0189476	procedure
Vaginal hysterectomy	C0020700	procedure
Closed traumatic dislocation of elbow joint	C0434599	disorder
Bilateral reduction mammoplasty	C0191924	procedure
Degeneration of lumbar intervertebral disc	C0263874	disorder
Muscle weakness	C0151786	finding
Cerclage of cervix	C0195681	procedure
Renal dialysis	C0917873	procedure
Methicillin resistant Staphylococcus aureus infection	C0343401	disorder
Hand foot and mouth disease	C0018572	disorder
Genital warts	C0009663	disorder
Hydrocele of testis	C1720771	disorder
Dermatophytosis of the body	C0546826	disorder
Candida intertrigo	C0014718	disorder
Enterobiasis	C0086227	disorder
Ventricular hypertrophy	C0340279	disorder
Carotid artery occlusion	C0265101	disorder
Transient ischemic attack	C0007787	disorder
Arterial, arteriole and capillary disease	C0178274	disorder
Raynaud's phenomenon	C0034735	finding
Short bowel syndrome	C0036992	disorder
Sudden death	C0011071	event
Non-allergic asthma	C0155880	disorder
Tooth development and eruption disorder	C0155922	disorder
Esophageal dysmotility	C0014858	disorder
Iliopsoas abscess	C0085222	disorder
Hemorrhage of rectum and anus	C0019081	disorder
Cirrhosis - non-alcoholic	C0400943	disorder
Calculus in biliary tract	C0242216	disorder
Chronic ulcer of lower extremity	C0263560	disorder
Calculus of kidney and ureter	C0156257	disorder
Benign prostatic hyperplasia	C1704272	disorder
Redundant prepuce and phimosis	C0034919	disorder
Endometriosis of ovary	C0156344	disorder
Dysmenorrhea	C0013390	disorder
Dilatation of aorta	C0265004	disorder
Excessive and frequent menstruation	C0341863	finding
Perimenopausal disorder	C0404559	disorder
Female infertility of anovulatory origin	C0404572	disorder
Antisocial personality disorder	C0003431	disorder
Menopausal and postmenopausal disorders	C0156407	disorder
Hormone replacement therapy	C0282402	procedure
Endometriosis of pelvis	C0241880	disorder
Homozygous beta thalassemia	C0002875	disorder
Family history: Raised blood lipids	C0455369	situation
Family history of alcoholism	C0559555	situation
Family history: Cardiovascular disease	C0455404	situation
Never smoked tobacco	C0425293	finding
History of - cardiovascular disease	C0455539	situation
History of - gastrointestinal disease	C0455553	situation
History of - peptic ulcer	C0455546	situation
History of - musculoskeletal disease	C0559112	situation
History of - tubal ligation	C0438066	situation
General symptom	C0159028	finding
Excessive eating - polyphagia	C0020505	finding
Abnormal weight loss	C0936227	finding
Dyspnea	C0013404	finding
Edema	C0013604	finding
Genitourinary symptoms	C0426317	finding
Retention of urine	C0080274	disorder
Speech problem	C0395016	finding
Frontal headache	C0239886	finding
Sore throat symptom	C0242429	finding
Steroid-induced myopathy	C0270994	disorder
Maternal pyrexia in labor	C0341973	disorder
Toxic diffuse goiter	C0342122	disorder
Lactose intolerance	C0022951	disorder
Disorder of lipid metabolism	C0154251	disorder
Pure hypercholesterolemia	C0678189	disorder
Degeneration of macula due to cyst, hole or pseudohole	C1261331	disorder
Age-related macular degeneration	C0242383	disorder
Cellulitis and abscess of neck	C0157697	disorder
Cellulitis and abscess of hand excluding digits	C0406078	disorder
Cellulitis and abscess of leg	C0406087	disorder
Cellulitis and abscess of foot excluding toe	C0406089	disorder
Pruritus of genital organs	C0033777	disorder
Hypertrophic cicatrix	C0162810	disorder
Neurodermatitis	C0027822	disorder
Shoulder joint pain	C0423670	finding
Arthralgia of the pelvic region and thigh	C0423663	finding
Arthralgia of the lower leg	C0423661	finding
Arthralgia of the ankle and/or foot	C0423658	finding
Cervical spondylosis without myelopathy	C0158241	disorder
Thoracic spondylosis without myelopathy	C0158243	disorder
Pain in thoracic spine	C0677061	finding
Acute osteomyelitis of the ankle and/or foot	C0264039	disorder
Chronic osteomyelitis of the ankle and/or foot	C0264049	disorder
Osteoarthritis of multiple joints	C0559096	disorder
Congenital ptosis	C0266573	disorder
Undescended testis, unilateral	C0431664	disorder
Undescended testes - bilateral	C0431663	disorder
Congenital bladder neck stenosis	C0341741	disorder
Congenital torticollis	C0079352	disorder
Congenital subluxation of hip, unilateral	C1261276	disorder
Visual testing	C0042793	procedure
Mantoux: negative	C0429910	finding
Mantoux: positive	C0032739	finding
Antiphospholipid syndrome	C0085278	disorder
Vaginal show	C0426196	finding
Child health care	C0008078	regime/therapy
Sterilization education	C0474173	procedure
Breast neoplasm screening	C0281182	procedure
Hyperlipidemia screening	C0474237	procedure
Adult health examination	C0420151	procedure
Single major depressive episode	C0024517	disorder
Recurrent major depressive episodes	C0154409	disorder
Psychosexual dysfunction	C0033953	finding
Cannabis type drug dependence	C0553812	disorder
Fetus or neonate affected by breech delivery and extraction	C0158839	disorder
Neonatal hypocalcemia	C0342634	disorder
Myositis	C0027121	disorder
Closed fracture of cervical spine	C0435352	disorder
Closed fracture of the distal humerus	C0555330	disorder
Closed Colles' fracture	C0009354	disorder
Acute meniscal tear, medial	C0434984	disorder
Sprain of elbow and forearm	C0434416	disorder
Sprain of knee and leg	C0434425	disorder
Beta thalassemia trait	C0878521	disorder
Contusion of face, scalp and neck, excluding eye(s)	C0160918	disorder
Alzheimer's disease	C0002395	disorder
Post-traumatic wound infection	C1264517	disorder
Malignant tumor of lesser curve of stomach	C0153422	disorder
Malignant tumor of greater curve of stomach	C0153423	disorder
Open wound of lower limb	C0178323	disorder
Nodular lymphoma	C0024301	disorder
Benign tumor of breast	C0346156	disorder
Tongue carcinoma	C0558353	disorder
Carcinoma of colon	C0699790	disorder
Malignant melanoma of trunk	C1305887	disorder
Malignant melanoma of lower limb	C0587062	disorder
Accident caused by machinery	C0261712	event
Foreign body accident - orifice	C0565848	event
Medical examinations/reports	C0421950	procedure
First degree atrioventricular block	C0085614	disorder
Postoperative hypothyroidism	C0154157	disorder
Fit denture	C0178235	procedure
Schizoaffective disorder, manic type	C0349199	disorder
Problem situation relating to social and personal history	C0578883	finding
Benign neoplasm of skin of ear and external auditory meatus	C0347353	disorder
Benign neoplasm of pituitary gland and craniopharyngeal duct	C0347525	disorder
Hemangioma of skin and subcutaneous tissue	C0154049	disorder
Post-laminectomy syndrome	C0152089	disorder
Hepatitis B immune	C0428033	finding
Infectious mononucleosis	C0021345	disorder
Communicating hydrocephalus	C0009451	disorder
Syncope	C0039070	disorder
Swelling of scrotum	C0282005	finding
Breasts asymmetrical	C0425779	finding
Chorea	C0008489	finding
Symbolic dysfunction	C0159047	finding
Anemia	C0002871	disorder
Macular eruption	C0221201	disorder
Papular eruption	C0221202	disorder
Pustule	C0241157	disorder
Joint swelling	C0152031	finding
Unstable ankle	C0277851	finding
Drowsy	C0013144	finding
Dizziness and giddiness	C0476206	finding
Malaise and fatigue	C0024528	finding
Eruption of skin	C0015230	disorder
Edema, generalized	C0151603	finding
Peripheral edema	C0085649	disorder
Petechiae	C0031256	finding
Tachypnea	C0231835	finding
Respiratory distress	C0476273	finding
Burping	C0014724	finding
Loin pain	C0235632	finding
Abdominal mass	C0000734	finding
Vaginal discharge	C0227791	finding
Corneal edema	C0010037	disorder
Carcinoma of base of tongue	C0346564	disorder
